[01-Jul-2017 06:37:23 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:37:26 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:37:26 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:38:27 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:07 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:08 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:08 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:12 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:13 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:13 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:57 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:58 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:41:58 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:00 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:01 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:01 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:06 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:07 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:07 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:42:23 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:43:29 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
[01-Jul-2017 06:43:30 UTC] PHP Warning:  Creating default object from empty value in /home/ubuntu/workspace/config.php on line 23
